Altium Designer Pick and Place Locations
C:\Users\user\Nextcloud\PC-SYNC\Projects\_source_codes\_all_git_repos\bitsnap_snaps\pcba\snaps\snvc033 (2)\Project Outputs\Pick Place for SM3320-BATT-EV.csv

========================================================================================================================
File Design Information:

Date:       01/04/22
Time:       19:49
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"C19","=PartNumber","TopLayer","C_1206","151.5000","23.0000","90","C - CAPACITOR - MLCC - 1nF - 2000V - 1206 - X7R","151.5000","23.0000","151.5000","21.7046"
"C18","=PartNumber","TopLayer","C_1206","151.0000","84.5000","270","C - CAPACITOR - MLCC - 1nF - 2000V - 1206 - X7R","151.0000","84.5000","151.0000","85.7954"
"J_OUT","XT60PW_M","TopLayer","XT60PW_M","251.4000","25.2500","270","J - JACK - POWER - XT60 - RIGHT - MALE","248.4000","25.2500","248.4000","21.6500"
"D_CLAMP_18","ZMM5V1","TopLayer","DO-213AA","93.0000","25.0000","180","D - DIODE - ZENER - 5.1V - 500mW","93.0000","25.0000","95.0000","25.0000"
"D_CLAMP_17","ZMM5V1","TopLayer","DO-213AA","93.0000","28.5000","360","D - DIODE - ZENER - 5.1V - 500mW","93.0000","28.5000","91.0000","28.5000"
"D_CLAMP_16","ZMM5V1","TopLayer","DO-213AA","93.0000","32.0000","180","D - DIODE - ZENER - 5.1V - 500mW","93.0000","32.0000","95.0000","32.0000"
"D_CLAMP_15","ZMM5V1","TopLayer","DO-213AA","93.0000","35.5000","360","D - DIODE - ZENER - 5.1V - 500mW","93.0000","35.5000","91.0000","35.5000"
"D_CLAMP_14","ZMM5V1","TopLayer","DO-213AA","93.0000","39.0000","180","D - DIODE - ZENER - 5.1V - 500mW","93.0000","39.0000","95.0000","39.0000"
"D_CLAMP_13","ZMM5V1","TopLayer","DO-213AA","93.0000","42.5000","360","D - DIODE - ZENER - 5.1V - 500mW","93.0000","42.5000","91.0000","42.5000"
"D_CLAMP_12","ZMM5V1","TopLayer","DO-213AA","93.0000","46.0000","180","D - DIODE - ZENER - 5.1V - 500mW","93.0000","46.0000","95.0000","46.0000"
"D_CLAMP_11","ZMM5V1","TopLayer","DO-213AA","93.0000","49.5000","360","D - DIODE - ZENER - 5.1V - 500mW","93.0000","49.5000","91.0000","49.5000"
"D_CLAMP_10","ZMM5V1","TopLayer","DO-213AA","93.0000","53.0000","180","D - DIODE - ZENER - 5.1V - 500mW","93.0000","53.0000","95.0000","53.0000"
"D_CLAMP_9","ZMM5V1","TopLayer","DO-213AA","93.0000","56.5000","360","D - DIODE - ZENER - 5.1V - 500mW","93.0000","56.5000","91.0000","56.5000"
"D_CLAMP_8","ZMM5V1","TopLayer","DO-213AA","93.0000","60.0000","180","D - DIODE - ZENER - 5.1V - 500mW","93.0000","60.0000","95.0000","60.0000"
"D_CLAMP_7","ZMM5V1","TopLayer","DO-213AA","93.0000","63.5000","360","D - DIODE - ZENER - 5.1V - 500mW","93.0000","63.5000","91.0000","63.5000"
"D_CLAMP_6","ZMM5V1","TopLayer","DO-213AA","93.0000","67.0000","180","D - DIODE - ZENER - 5.1V - 500mW","93.0000","67.0000","95.0000","67.0000"
"D_CLAMP_5","ZMM5V1","TopLayer","DO-213AA","93.0000","70.5000","360","D - DIODE - ZENER - 5.1V - 500mW","93.0000","70.5000","91.0000","70.5000"
"D_CLAMP_4","ZMM5V1","TopLayer","DO-213AA","93.0000","74.0000","180","D - DIODE - ZENER - 5.1V - 500mW","93.0000","74.0000","95.0000","74.0000"
"D_CLAMP_3","ZMM5V1","TopLayer","DO-213AA","93.0000","77.5000","360","D - DIODE - ZENER - 5.1V - 500mW","93.0000","77.5000","91.0000","77.5000"
"D_CLAMP_2","ZMM5V1","TopLayer","DO-213AA","93.0000","81.0000","180","D - DIODE - ZENER - 5.1V - 500mW","93.0000","81.0000","95.0000","81.0000"
"D_CLAMP_1","ZMM5V1","TopLayer","DO-213AA","93.0000","84.5000","360","D - DIODE - ZENER - 5.1V - 500mW","93.0000","84.5000","91.0000","84.5000"
"D_1B","N4148WS","TopLayer","SOD-323","57.5000","93.5000","360","D - DIODE - FAST TRR - 100V - 150mA - 4ns","57.5000","93.5000","56.4000","93.5000"
"D_1A","N4148WS","TopLayer","SOD-323","57.5000","90.5000","360","D - DIODE - FAST TRR - 100V - 150mA - 4ns","57.5000","90.5000","56.4000","90.5000"
"R_1B_c","0402WGF1003TCE","TopLayer","R_0402","63.5000","95.5000","180","R - RESISTOR - SMD - 100k - 1% -  0402","63.5000","95.5000","64.0080","95.5000"
"R_1B_b","0402WGF1002TCE","TopLayer","R_0402","61.5000","93.5000","270","R - RESISTOR - SMD - 10k - 1% - 0402","61.5000","93.5000","61.5000","94.0080"
"R_1B_a","0402WGF1002TCE","TopLayer","R_0402","60.5000","93.5000","90","R - RESISTOR - SMD - 10k - 1% - 0402","60.5000","93.5000","60.5000","92.9920"
"D_1B_G","ZMM5V1","TopLayer","DO-213AA","65.0000","93.5000","360","D - DIODE - ZENER - 5.1V - 500mW","65.0000","93.5000","63.0000","93.5000"
"R14_d","=PartNumber","TopLayer","R_0402","156.6000","21.6000","180","R - RESISTOR - SMD - 10R - 1% - 0402","156.6000","21.6000","157.1080","21.6000"
"R14_c","=PartNumber","TopLayer","R_0402","154.4000","21.6000","180","R - RESISTOR - SMD - 10R - 1% - 0402","154.4000","21.6000","154.9080","21.6000"
"R14_b","=PartNumber","TopLayer","R_0402","156.6000","20.6000","180","R - RESISTOR - SMD - 10R - 1% - 0402","156.6000","20.6000","157.1080","20.6000"
"R14_a","=PartNumber","TopLayer","R_0402","154.4000","20.6000","180","R - RESISTOR - SMD - 10R - 1% - 0402","154.4000","20.6000","154.9080","20.6000"
"R11_d","=PartNumber","TopLayer","R_0402","156.6000","86.6000","180","R - RESISTOR - SMD - 10R - 1% - 0402","156.6000","86.6000","157.1080","86.6000"
