Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity

"CL05A105KA5NQNC","C - CAPACITOR - MLCC - 1uF - 25V - 0402","C5v1, Cvcc, MT_C_HJ, MT_C_HK","C_0402","C52923","CL05A105KA5NQNC","4"
"CL05A106MQ5NUNC","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","C5v2, C_vdd_ts_a?, MT_C_HB, MT_C_HG","C_0402","C15525","CL05A106MQ5NUNC","4"
"1206B102K202NT","C - CAPACITOR - MLCC - 1nF - 2000V - 1206 - X7R","C18, C19","C_1206","C9196","1206B102K202NT","2"
"CL05B104KO5NNNC","C - CAPACITOR - MLCC - 100nF - 16V - 0402","C49, C50, C51, C52, C?, Cvdd","C_0402","C1525","CL05B104KO5NNNC","6"
"CL10B474KA8NNNC","C - CAPACITOR - MLCC - 470nF - 25V - 0603","Cboot1, Cboot2","C_0603","C1623","CL10B474KA8NNNC","2"
"0402B102K500NT","C - CAPACITOR - MLCC - 1nF - 50V - 0402","Ciin, Ciout, Csu1, Csu2","C_0402","C1523","0402B102K500NT","4"
"SS210","D - DIODE - SCHOTTKY - 100V - 2A","D1_a, D1_b, D1_c, D1_d, D1_e, D1_f, D2_a, D2_b, D2_c, D2_d, D2_e, D2_f, D3_a, D3_b, D3_c, D3_d, D3_e, D3_f, D4_a, D4_b, D4_c, D4_d, D4_e, D4_f, D14, D15, Dbg1, Dbg2, Dtg1, Dtg2","DO-214AC","C14996","SS210","30"
"N4148WS","D - DIODE - FAST TRR - 100V - 150mA - 4ns","D3, D4, D5, D6, D_1A, D_1B","SOD-323","C2128","N4148WS","6"
"ZMM5V6-M","D - DIODE - ZENER - 5.6V - 500mW","D_1A_G, D_1B_G, D_CLAMP_1, D_CLAMP_2, D_CLAMP_3, D_CLAMP_4, D_CLAMP_5, D_CLAMP_6, D_CLAMP_7, D_CLAMP_8, D_CLAMP_9, D_CLAMP_10, D_CLAMP_11, D_CLAMP_12, D_CLAMP_13, D_CLAMP_14, D_CLAMP_15, D_CLAMP_16, D_CLAMP_17, D_CLAMP_18","DO-213AA","C8062","ZMM5V6-M","20"
"1N5819WS","D - DIODE - SCHOTTKY - 40V - 1A","Dsu1, Dsu2","SOD-323","C191023","1N5819WS","2"
"2-406549-1","J - JACK - ETHERNET - Right - THT","J1, J2","TE_2-406549-1","C125068","2-406549-1","2"
"SWRB1207S-221MT","L - INDUCTOR - 220uH - 1.6A - 12.5mm","L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12","SRR1260","C169380","SWRB1207S-221MT","12"
