Altium Designer Pick and Place Locations
C:\git\solarmagic\texas_2\Project Outputs\Pick Place for SM3320-BATT-EV.csv

========================================================================================================================
File Design Information:

Date:       21/09/22
Time:       18:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"MT_R_FV","0402WGF0000TCE","TopLayer","R_0402","255.0000","132.0000","270","R - RESISTOR - SMD - 0R - 1% - 0402","255.0000","132.0000","255.0000","132.5080"
"MT_C_EL","1206B105K101NT","TopLayer","C_1206","277.0000","153.0000","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","277.0000","153.0000","277.0000","151.6046"
"MT_C_EK","1206B105K101NT","TopLayer","C_1206","274.5000","153.0000","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","274.5000","153.0000","274.5000","151.6046"
"MT_C_EJ","1206B105K101NT","TopLayer","C_1206","272.0000","153.0000","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","272.0000","153.0000","272.0000","151.6046"
"MT_C_EI","1206B105K101NT","TopLayer","C_1206","269.5000","153.0000","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","269.5000","153.0000","269.5000","151.6046"
"MT_C_EH","1206B105K101NT","TopLayer","C_1206","267.0000","153.0000","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","267.0000","153.0000","267.0000","151.6046"
"MT_C_EG","1206B105K101NT","TopLayer","C_1206","264.5000","153.0000","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","264.5000","153.0000","264.5000","151.6046"
"MT_C_FL","1206B105K101NT","TopLayer","C_1206","277.0000","100.5000","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","277.0000","100.5000","277.0000","101.8954"
"MT_C_FK","1206B105K101NT","TopLayer","C_1206","274.5000","100.5000","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","274.5000","100.5000","274.5000","101.8954"
"MT_C_FJ","1206B105K101NT","TopLayer","C_1206","272.0000","100.5000","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","272.0000","100.5000","272.0000","101.8954"
"MT_C_FI","1206B105K101NT","TopLayer","C_1206","269.5000","100.5000","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","269.5000","100.5000","269.5000","101.8954"
"MT_C_FH","1206B105K101NT","TopLayer","C_1206","267.0000","100.5000","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","267.0000","100.5000","267.0000","101.8954"
"MT_C_FG","1206B105K101NT","TopLayer","C_1206","264.5000","100.5000","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","264.5000","100.5000","264.5000","101.8954"
"MT_RT_TK","NCP15XH103F03RC","TopLayer","R_0402","55.5000","106.0000","180","RT - NTC THERMISTOR - 10k - 1% - 0402","55.5000","106.0000","56.0080","106.0000"
"MT_RT_TJ","NCP15XH103F03RC","TopLayer","R_0402","55.5000","147.5000","180","RT - NTC THERMISTOR - 10k - 1% - 0402","55.5000","147.5000","56.0080","147.5000"
"MT_R_TK","0402WGF1002TCE","TopLayer","R_0402","254.2000","134.0000","90","R - RESISTOR - SMD - 10k - 1% - 0402","254.2000","134.0000","254.2000","133.4920"
"MT_R_TJ","0402WGF1002TCE","TopLayer","R_0402","253.5000","132.0000","90","R - RESISTOR - SMD - 10k - 1% - 0402","253.5000","132.0000","253.5000","131.4920"
"MT_RT_TI","NCP15XH103F03RC","TopLayer","R_0402","70.5000","106.0000","180","RT - NTC THERMISTOR - 10k - 1% - 0402","70.5000","106.0000","71.0080","106.0000"
"MT_RT_TH","NCP15XH103F03RC","TopLayer","R_0402","70.5000","147.5000","180","RT - NTC THERMISTOR - 10k - 1% - 0402","70.5000","147.5000","71.0080","147.5000"
"MT_R_TI","0402WGF1002TCE","TopLayer","R_0402","252.8000","134.0000","90","R - RESISTOR - SMD - 10k - 1% - 0402","252.8000","134.0000","252.8000","133.4920"
"MT_R_TH","0402WGF1002TCE","TopLayer","R_0402","252.2000","132.0000","90","R - RESISTOR - SMD - 10k - 1% - 0402","252.2000","132.0000","252.2000","131.4920"
"MT_RT_TG","NCP15XH103F03RC","TopLayer","R_0402","129.0000","118.5000","270","RT - NTC THERMISTOR - 10k - 1% - 0402","129.0000","118.5000","129.0000","119.0080"
"MT_R_TG","0402WGF1002TCE","TopLayer","R_0402","250.8000","132.0000","90","R - RESISTOR - SMD - 10k - 1% - 0402","250.8000","132.0000","250.8000","131.4920"
"MT_RT_TF","NCP15XH103F03RC","TopLayer","R_0402","129.0000","134.5000","90","RT - NTC THERMISTOR - 10k - 1% - 0402","129.0000","134.5000","129.0000","133.9920"
"MT_R_TF","0402WGF1002TCE","TopLayer","R_0402","251.5000","134.0000","90","R - RESISTOR - SMD - 10k - 1% - 0402","251.5000","134.0000","251.5000","133.4920"
"MT_R_FT","0402WGF0000TCE","TopLayer","R_0402","246.0000","135.0000","270","R - RESISTOR - SMD - 0R - 1% - 0402","246.0000","135.0000","246.0000","135.5080"
"MT_R_TZ","0402WGF5101TCE","TopLayer","R_0402","250.6000","118.5000","90","R - RESISTOR - SMD - 5.1k - 1% - 0402","250.6000","118.5000","250.6000","117.9920"
"MT_R_TY","0402WGF5101TCE","TopLayer","R_0402","250.6000","121.0000","90","R - RESISTOR - SMD - 5.1k - 1% - 0402","250.6000","121.0000","250.6000","120.4920"
"MT_R_TX","0402WGF5101TCE","TopLayer","R_0402","249.7000","118.5000","90","R - RESISTOR - SMD - 5.1k - 1% - 0402","249.7000","118.5000","249.7000","117.9920"
"MT_R_TW","0402WGF5101TCE","TopLayer","R_0402","249.7000","121.0000","90","R - RESISTOR - SMD - 5.1k - 1% - 0402","249.7000","121.0000","249.7000","120.4920"
"MT_RT_TE","NCP15XH103F03RC","TopLayer","R_0402","176.0000","150.0000","360","RT - NTC THERMISTOR - 10k - 1% - 0402","176.0000","150.0000","175.4920","150.0000"
"MT_RT_TD","NCP15XH103F03RC","TopLayer","R_0402","187.5000","134.5000","360","RT - NTC THERMISTOR - 10k - 1% - 0402","187.5000","134.5000","186.9920","134.5000"
"MT_RT_TC","NCP15XH103F03RC","TopLayer","R_0402","186.0000","129.0000","360","RT - NTC THERMISTOR - 10k - 1% - 0402","186.0000","129.0000","185.4920","129.0000"
