Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity

"1206B102K202NT","C - CAPACITOR - MLCC - 1nF - 2000V - 1206 - X7R","C18, C19","C_1206","C9196","1206B102K202NT","2"
"CL05B104KO5NNNC","C - CAPACITOR - MLCC - 100nF - 16V - 0402","C, C_MT_CLKOUT, MT_C_DACO, MT_C_SS, MT_C_TEMP","C_0402","C1525","CL05B104KO5NNNC","5"
"CL05A106MQ5NUNC","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","C_vdd_ts_a, MT_C_ZA, MT_C_ZB, MT_C_ZC, MT_C_ZD, MT_C_ZE, MT_C_ZF","C_0402","C15525","CL05A106MQ5NUNC","7"
"CL10B474KA8NNNC","C - CAPACITOR - MLCC - 470nF - 25V - 0603","Cboot1, Cboot2","C_0603","C1623","CL10B474KA8NNNC","2"
"N4148WS","D - DIODE - FAST TRR - 100V - 150mA - 4ns","D3, D4, D5, D6, D_1A, D_1B","SOD-323","C2128","N4148WS","6"
"SS210","D - DIODE - SCHOTTKY - 100V - 2A","D14, D15, Dbg1, Dbg2, Dtg1, Dtg2, MT_D_IN_A, MT_D_IN_B, MT_D_IN_C, MT_D_IN_D, MT_D_IN_E, MT_D_IN_F, MT_D_IN_G, MT_D_IN_H, MT_D_IN_I, MT_D_IN_J, MT_D_IN_K, MT_D_IN_L, MT_D_IN_M, MT_D_IN_N, MT_D_IN_O, MT_D_IN_P, TWLV_D_A","DO-214AC","C14996","SS210","23"
"ZMM5V6-M","D - DIODE - ZENER - 5.6V - 500mW","D_1A_G, D_1B_G, D_CLAMP_1, D_CLAMP_2, D_CLAMP_3, D_CLAMP_4, D_CLAMP_5, D_CLAMP_6, D_CLAMP_7, D_CLAMP_8, D_CLAMP_9, D_CLAMP_10, D_CLAMP_11, D_CLAMP_12, D_CLAMP_13, D_CLAMP_14, MT_D_ECON, MT_D_KA_B, MT_D_KB_B, MT_D_SWEN","DO-213AA","C8062","ZMM5V6-M","20"
"2-406549-1","J - JACK - ETHERNET - Right - THT","J1, J2","TE_2-406549-1","C125068","2-406549-1","2"
"SWRB1207S-221MT","L - INDUCTOR - 220uH - 1.6A - 12.5mm","L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, TWLV_L_A","SRR1260","C169380","SWRB1207S-221MT","13"
"0402WGF5101TCE","R - RESISTOR - SMD - 5.1k - 1% - 0402","MR_R_FBIW_B","R_0402","C25905","0402WGF5101TCE","1"
"0402WGF6802TCE","R - RESISTOR - SMD - 68k - 1% - 0402","MR_R_FBOW_B","R_0402","C36871","0402WGF6802TCE","1"
"1206B105K101NT","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","MT_C_AA, MT_C_AB, MT_C_AC, MT_C_AD, MT_C_AE, MT_C_AF, MT_C_AG, MT_C_AH, MT_C_AI, MT_C_AJ, MT_C_AK, MT_C_AL, MT_C_AM, MT_C_AN, MT_C_BA, MT_C_BB, MT_C_BC, MT_C_BD, MT_C_BE, MT_C_BF, MT_C_BG, MT_C_BH, MT_C_BI, MT_C_BJ, MT_C_BK, MT_C_BL, MT_C_CA, MT_C_CB, MT_C_CC, MT_C_CD, MT_C_CE, MT_C_CF, MT_C_CG, MT_C_CH, MT_C_CI, MT_C_CJ, MT_C_CK, MT_C_CL, MT_C_CM, MT_C_CN, MT_C_DA, MT_C_DB, MT_C_DC, MT_C_DD, MT_C_DE, MT_C_DF, MT_C_DG, MT_C_DH, MT_C_DI, MT_C_DJ, MT_C_DK, MT_C_DL, MT_C_EA, MT_C_EB, MT_C_EC, MT_C_ED, MT_C_EE, MT_C_EF, MT_C_EG, MT_C_EH, MT_C_EI, MT_C_EJ, MT_C_EK, MT_C_EL, MT_C_EXTVCC, MT_C_FA, MT_C_FB, MT_C_FC, MT_C_FD, MT_C_FE, MT_C_FF, MT_C_FG, MT_C_FH, MT_C_FI, MT_C_FJ, MT_C_FK, MT_C_FL, TWLV_C_DA, TWLV_C_DB, TWLV_C_DC, TWLV_C_DD","C_1206","C91151","1206B105K101NT","81"
"CL05A105KA5NQNC","C - CAPACITOR - MLCC - 1uF - 25V - 0402","MT_C_AMP, MT_C_FBIW, MT_C_VDD","C_0402","C52923","CL05A105KA5NQNC","3"
"CL05B332KB5NNNC","C - CAPACITOR - MLCC - 3.3nF - 50V - 0402","MT_C_CSS","C_0402","C26404","CL05B332KB5NNNC","1"
"GRM21BR61H106KE43L","C - CAPACITOR - MLCC - 10uF - 50V - 0805","MT_C_GVCC","C_0805","C440198","GRM21BR61H106KE43L","1"
"CL05B103KB5NNNC","C - CAPACITOR - MLCC - 10nF - 50V - 0402","MT_C_IMON_IN, MT_C_IMON_OUT, MT_C_VC_B","C_0402","C15195","CL05B103KB5NNNC","3"
"0402B221K500NT","C - CAPACITOR - MLCC - 220pF - 50V - 0402","MT_C_VC_A","C_0402","C1530","0402B221K500NT","1"
"CL05A474KP5NNNC","C - CAPACITOR - MLCC - 470nF - 10V - 0402","MT_C_VIN_F, MT_C_VOUT_F","C_0402","C47339","CL05A474KP5NNNC","2"
"1N4148WS","D - DIODE - FAST TRR - 100V - 150mA - 4ns","MT_D_BOOST_A, MT_D_BOOST_B, MT_D_KA_A, MT_D_KB_A","SOD-323","C2128","1N4148WS","4"
"KT-0603R","D - LED - 0603 - Red","MT_D_FAULT, MT_D_STATUS","D_0603","C2286","KT-0603R","2"
"0402WGF2203TCE","R - RESISTOR - SMD - 220k - 1% - 0402","MT_ECON, MT_R_MODE_A, MT_R_T, MT_R_VINR_A, MT_SWEN, TWLV_R_B","R_0402","C25767","0402WGF2203TCE","6"
"G2RL-2-DC12","SW - Relay 12VDC 8A DPDT (( 29mm 12.7mm 15.7mm)) THT","MT_KA, MT_KB","RELAY_G2RL-2_12DC","C61458","G2RL-2-DC12","2"
"SDFL1608S100KTF","L - INDUCTOR - 10uH - 0603","MT_L_TA","L_0603","C1035","SDFL1608S100KTF","1"
"0402WGF1001TCE","R - RESISTOR - SMD - 1k - 1% - 0402","MT_POL_R, MT_POL_R_N, MT_R_FAULT_A, MT_R_FAULT_B, MT_R_STATUS_A, MT_R_STATUS_B","R_0402","C11702","0402WGF1001TCE","6"
"CRSS042N10N","Q - TRANSISTOR - MOSFET (N) - 100V - 120A - 0.005R","MT_Q1, MT_Q2, MT_Q3, MT_Q4","TO-263-3","C410926","CRSS042N10N","4"
"2N7002","Q - TRANSISTOR - MOSFET (N) - 60V - 200mW","MT_Q_ECON_A, MT_Q_KA, MT_Q_KB, MT_Q_SHDN, MT_Q_SWEN_A, MT_Q_VINR, Q_LEDA, Q_LEDB, Q_LEDVSS, TWLV_Q_A","TO-236AB","C8545","2N7002","10"
"HSS0127","Q - TRANSISTOR - MOSFET (P) - 100V - 0.9A - 0.65 Ohm","MT_Q_ECON_B, MT_Q_SWEN_B","TO-236AB","C700960","HSS0127","2"
"0402WGF5102TCE","R - RESISTOR - SMD - 51k - 1% - 0402","MT_R_CLKDET","R_0402","C25794","0402WGF5102TCE","1"
"FMF25FPJR005-LH","R - RESISTOR - SMD - 0.005R - 1% - 2512 - 2W","MT_R_CS, R1, R10","R_2512","C371096","FMF25FPJR005-LH","3"
"0402WGF100JTCE","R - RESISTOR - SMD - 10R - 1% - 0402","MT_R_CSS_N, MT_R_CSS_P, MT_R_ECON_E","R_0402","C25077","0402WGF100JTCE","3"
"0402WGF1202TCE","R - RESISTOR - SMD - 12k - 1% - 0402","MT_R_DACO_A, MT_R_FBOUT_B, MT_R_TEMP_B","R_0402","C25752","0402WGF1202TCE","3"
"0402WGF0000TCE","R - RESISTOR - SMD - 0R - 1% - 0402","MT_R_ECON_B, MT_R_EXTVCC, MT_R_FBIR, MT_R_FT, MT_R_FV, MT_R_MODE_B, MT_R_POL_N, MT_R_SWEN_B, MT_R_THREE, MT_R_TWELVE, MT_R_WAKE_B, TWLV_R_F","R_0402","C17168","0402WGF0000TCE","12"
