Altium Designer Pick and Place Locations
C:\git\solarmagic\mppt_lt\Project Outputs\Pick Place for mppt(DNP).csv

========================================================================================================================
File Design Information:

Date:       26/12/22
Time:       19:17
Revision:   da0ca2474a53005c6a9c7cde55b244417a27d963
Variant:    DNP
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"MT_F_A","01550900M","TopLayer","01550900M","45.0000","135.0000","360","F - FUSE - FUSEHOLDER - 154 - SMD","45.0000","135.0000","41.8000","135.0000"
"MT_F_B","01550900M","TopLayer","01550900M","45.0000","126.5000","360","F - FUSE - FUSEHOLDER - 154 - SMD","45.0000","126.5000","41.8000","126.5000"
"MT_F_C","01550900M","TopLayer","01550900M","45.0000","118.0000","360","F - FUSE - FUSEHOLDER - 154 - SMD","45.0000","118.0000","41.8000","118.0000"
"MT_R_WAKE_B","0402WGF0000TCE","TopLayer","R_0402","281.0000","123.5000","90","R - RESISTOR - SMD - 0R - 1% - 0402","281.0000","123.5000","281.0000","122.9920"
"MT_R_THREE","0402WGF0000TCE","TopLayer","R_0402","278.0000","114.0000","180","R - RESISTOR - SMD - 0R - 1% - 0402","278.0000","114.0000","278.5080","114.0000"
"MT_R_TWELVE","0402WGF0000TCE","TopLayer","R_0402","288.2920","144.5000","180","R - RESISTOR - SMD - 0R - 1% - 0402","288.2920","144.5000","288.8000","144.5000"
"MT_R_VINR","0402WGF1002TCE","TopLayer","R_0402","264.0080","112.0000","360","R - RESISTOR - SMD - 10k - 1% - 0402","264.0080","112.0000","263.5000","112.0000"
"MT_Q_VINR","2N7002","TopLayer","TO-236AB","264.0000","114.5000","90","Q - TRANSISTOR - MOSFET (N) - 60V - 200mW","264.0000","114.5000","263.0500","113.3500"
"MT_D_KA_B","ZMM5V6-M","TopLayer","DO-213AA","106.0000","123.0000","270","D - DIODE - ZENER - 5.6V - 500mW","106.0000","123.0000","106.0000","124.8000"
"MT_D_KB_B","ZMM5V6-M","TopLayer","DO-213AA","106.0000","130.5000","90","D - DIODE - ZENER - 5.6V - 500mW","106.0000","130.5000","106.0000","128.7000"
"MT_D_KB_A","1N4148WS","TopLayer","SOD-323","110.0000","132.0000","180","D - DIODE - FAST TRR - 100V - 150mA - 4ns","110.0000","132.0000","111.1000","132.0000"
"MT_C_EXTVCC","1206B105K101NT","TopLayer","C_1206","243.5000","116.0000","180","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","243.5000","116.0000","244.8954","116.0000"
"MT_R_ECON_E","0402WGF100JTCE","TopLayer","R_0402","279.5000","129.5000","90","R - RESISTOR - SMD - 10R - 1% - 0402","279.5000","129.5000","279.5000","128.9920"
"MT_R_ECON_D","0402WGF1003TCE","TopLayer","R_0402","277.5000","129.5000","90","R - RESISTOR - SMD - 100k - 1% -  0402","277.5000","129.5000","277.5000","128.9920"
"MT_R_ECON_C","0402WGF1003TCE","TopLayer","R_0402","278.5000","134.0000","180","R - RESISTOR - SMD - 100k - 1% -  0402","278.5000","134.0000","279.0080","134.0000"
"MT_R_ECON_B","0402WGF0000TCE","TopLayer","R_0402","280.5000","129.5000","270","R - RESISTOR - SMD - 0R - 1% - 0402","280.5000","129.5000","280.5000","130.0080"
"MT_Q_ECON_B","HSS0127","TopLayer","TO-236AB","278.5000","131.5000","270","Q - TRANSISTOR - MOSFET (P) - 100V - 0.9A - 0.65 Ohm","278.5000","131.5000","279.4500","132.6500"
"MT_D_ECON","ZMM5V6-M","TopLayer","DO-213AA","275.5000","128.0000","90","D - DIODE - ZENER - 5.6V - 500mW","275.5000","128.0000","275.5000","126.2000"
"MT_R_SWEN_D","0402WGF1003TCE","TopLayer","R_0402","277.5000","120.5000","270","R - RESISTOR - SMD - 100k - 1% -  0402","277.5000","120.5000","277.5000","121.0080"
"MT_D_SWEN","ZMM5V6-M","TopLayer","DO-213AA","275.5000","121.0000","90","D - DIODE - ZENER - 5.6V - 500mW","275.5000","121.0000","275.5000","119.2000"
"MT_R_SWEN_C","0402WGF1003TCE","TopLayer","R_0402","279.5000","120.5000","90","R - RESISTOR - SMD - 100k - 1% -  0402","279.5000","120.5000","279.5000","119.9920"
"MT_R_SWEN_B","0402WGF0000TCE","TopLayer","R_0402","278.0000","115.0000","180","R - RESISTOR - SMD - 0R - 1% - 0402","278.0000","115.0000","278.5080","115.0000"
"MT_Q_SWEN_B","HSS0127","TopLayer","TO-236AB","278.5000","117.5000","270","Q - TRANSISTOR - MOSFET (P) - 100V - 0.9A - 0.65 Ohm","278.5000","117.5000","279.4500","118.6500"
"MT_Q_ECON_A","2N7002","TopLayer","TO-236AB","278.5000","127.0000","90","Q - TRANSISTOR - MOSFET (N) - 60V - 200mW","278.5000","127.0000","277.5500","125.8500"
"MT_ECON","0402WGF2203TCE","TopLayer","R_0402","257.0000","123.5000","90","R - RESISTOR - SMD - 220k - 1% - 0402","257.0000","123.5000","257.0000","122.9920"
"MT_Q_SWEN_A","2N7002","TopLayer","TO-236AB","278.5000","122.5000","270","Q - TRANSISTOR - MOSFET (N) - 60V - 200mW","278.5000","122.5000","279.4500","123.6500"
"MT_R_FAULT_B","0402WGF1001TCE","TopLayer","R_0402","269.0000","130.5000","360","R - RESISTOR - SMD - 1k - 1% - 0402","269.0000","130.5000","268.4920","130.5000"
"MT_R_FAULT_A","0402WGF1001TCE","TopLayer","R_0402","269.0000","132.5000","360","R - RESISTOR - SMD - 1k - 1% - 0402","269.0000","132.5000","268.4920","132.5000"
"MT_D_FAULT","KT-0603R","TopLayer","D_0603","269.0000","131.5000","360","D - LED - 0603 - Red","269.0000","131.5000","268.3000","131.5000"
"MT_R_STATUS_B","0402WGF1001TCE","TopLayer","R_0402","269.0000","135.5000","360","R - RESISTOR - SMD - 1k - 1% - 0402","269.0000","135.5000","268.4920","135.5000"
"MT_R_STATUS_A","0402WGF1001TCE","TopLayer","R_0402","269.0000","133.5000","360","R - RESISTOR - SMD - 1k - 1% - 0402","269.0000","133.5000","268.4920","133.5000"
"MT_D_STATUS","KT-0603R","TopLayer","D_0603","269.0000","134.5000","360","D - LED - 0603 - Red","269.0000","134.5000","268.3000","134.5000"
"MT_R_VINR_C","0402WGF2202TCE","TopLayer","R_0402","255.5000","123.0000","360","R - RESISTOR - SMD - 22k - 1% - 0402","255.5000","123.0000","254.9920","123.0000"
"MT_R_TEMP_B","0402WGF1202TCE","TopLayer","R_0402","255.5000","129.5000","180","R - RESISTOR - SMD - 12k - 1% - 0402","255.5000","129.5000","256.0080","129.5000"
"MT_R_TEMP_A","0402WGF1002TCE","TopLayer","R_0402","257.0000","130.0000","90","R - RESISTOR - SMD - 10k - 1% - 0402","257.0000","130.0000","257.0000","129.4920"
"MT_C_TEMP","CL05B104KO5NNNC","TopLayer","C_0402","255.5000","130.5000","360","C - CAPACITOR - MLCC - 100nF - 16V - 0402","255.5000","130.5000","254.9920","130.5000"
