Altium Designer Pick and Place Locations
C:\Users\user\Nextcloud\PC-SYNC\Projects\_source_codes\github\solarmagic\Project Outputs\Pick Place for SM3320-BATT-EV.csv

========================================================================================================================
File Design Information:

Date:       05/05/22
Time:       14:27
Revision:   fcd773d9eaf0b74ec5840eef1adfabf007bf4c5c
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"C23_g","CL05A105KA5NQNC","TopLayer","C_0402","211.0000","74.0000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","211.0000","74.0000","211.0000","74.5080"
"C64","1206B105K101NT","TopLayer","C_1206","216.5000","83.0000","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","216.5000","83.0000","216.5000","81.6046"
"C26","1206B105K101NT","TopLayer","C_1206","216.5000","88.0000","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","216.5000","88.0000","216.5000","89.3954"
"NT2","0","BottomLayer","NET_TIE","219.5000","63.7000","90","R - Net Tie","219.5000","63.7000","219.5000","63.5000"
"NT1","0","BottomLayer","NET_TIE","173.2000","54.2000","360","R - Net Tie","173.2000","54.2000","173.0000","54.2000"
"C42","CL05A106MQ5NUNC","TopLayer","C_0402","210.5000","72.0000","180","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","210.5000","72.0000","211.0080","72.0000"
"C23_f","CL05A105KA5NQNC","TopLayer","C_0402","209.5000","74.0000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","209.5000","74.0000","209.5000","74.5080"
"C23_e","CL05A105KA5NQNC","TopLayer","C_0402","208.0000","74.0000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","208.0000","74.0000","208.0000","74.5080"
"C23_d","CL05A105KA5NQNC","TopLayer","C_0402","206.5000","74.0000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","206.5000","74.0000","206.5000","74.5080"
"J_IN","XT60PW_M","TopLayer","XT60PW_M","45.0000","25.0000","90","J - JACK - POWER - XT60 - RIGHT - MALE","48.0000","25.0000","48.0000","28.6000"
"R16","0402WGF0000TCE","TopLayer","R_0402","97.8500","58.2500","90","R - RESISTOR - SMD - 0R - 1% - 0402","97.8500","58.2500","97.8500","57.7420"
"RB2_P","0402WGF0000TCE","TopLayer","R_0402","195.5000","67.2000","90","R - RESISTOR - SMD - 0R - 1% - 0402","195.5000","67.2000","195.5000","66.6920"
"RB2_N","0402WGF0000TCE","TopLayer","R_0402","196.5000","67.2000","90","R - RESISTOR - SMD - 0R - 1% - 0402","196.5000","67.2000","196.5000","66.6920"
"RA2_P","0402WGF0000TCE","TopLayer","R_0402","202.0000","43.0000","360","R - RESISTOR - SMD - 0R - 1% - 0402","202.0000","43.0000","201.4920","43.0000"
"RA2_N","0402WGF0000TCE","TopLayer","R_0402","202.0000","46.0000","360","R - RESISTOR - SMD - 0R - 1% - 0402","202.0000","46.0000","201.4920","46.0000"
"RB1_P","0402WGF0000TCE","TopLayer","R_0402","194.0000","71.7000","270","R - RESISTOR - SMD - 0R - 1% - 0402","194.0000","71.7000","194.0000","72.2080"
"RB1_N","0402WGF0000TCE","TopLayer","R_0402","195.0000","71.7000","270","R - RESISTOR - SMD - 0R - 1% - 0402","195.0000","71.7000","195.0000","72.2080"
"RA1_N","0402WGF0000TCE","TopLayer","R_0402","202.0000","44.0000","360","R - RESISTOR - SMD - 0R - 1% - 0402","202.0000","44.0000","201.4920","44.0000"
"RA1_P","0402WGF0000TCE","TopLayer","R_0402","202.0000","45.0000","360","R - RESISTOR - SMD - 0R - 1% - 0402","202.0000","45.0000","201.4920","45.0000"
"C38","CL05A106MQ5NUNC","TopLayer","C_0402","210.5000","70.5000","180","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","210.5000","70.5000","211.0080","70.5000"
"Ron_b","0402WGF1003TCE","TopLayer","R_0402","222.5000","88.0000","180","R - RESISTOR - SMD - 100k - 1% -  0402","222.5000","88.0000","223.0080","88.0000"
"C23_c","CL05A105KA5NQNC","TopLayer","C_0402","203.5000","74.0000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","203.5000","74.0000","203.5000","74.5080"
"C22","1206B105K101NT","TopLayer","C_1206","214.0000","83.0000","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","214.0000","83.0000","214.0000","81.6046"
"C21","1206B105K101NT","TopLayer","C_1206","214.0000","88.0000","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","214.0000","88.0000","214.0000","89.3954"
"C23_b","CL05A105KA5NQNC","TopLayer","C_0402","202.0000","74.0000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","202.0000","74.0000","202.0000","74.5080"
"C23_a","CL05A105KA5NQNC","TopLayer","C_0402","200.5000","74.0000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","200.5000","74.0000","200.5000","74.5080"
"C17","CL05B103KB5NNNC","TopLayer","C_0402","222.6000","83.1000","180","C - CAPACITOR - MLCC - 10nF - 50V - 0402","222.6000","83.1000","223.1080","83.1000"
"C15","CL05A105KA5NQNC","TopLayer","C_0402","220.5000","90.0000","360","C - CAPACITOR - MLCC - 1uF - 25V - 0402","220.5000","90.0000","219.9920","90.0000"
"C24","CL05B332KB5NNNC","TopLayer","C_0402","223.2000","84.7000","270","C - CAPACITOR - MLCC - 3.3nF - 50V - 0402","223.2000","84.7000","223.2000","85.2080"
"R5","0402WGF3302TCE","TopLayer","R_0402","222.5000","81.5000","180","R - RESISTOR - SMD - 33k - 1% - 0402","222.5000","81.5000","223.0080","81.5000"
"R5_a","0402WGF1003TCE","TopLayer","R_0402","222.5000","80.3000","360","R - RESISTOR - SMD - 100k - 1% -  0402","222.5000","80.3000","221.9920","80.3000"
"R15","0402WGF3301TCE","TopLayer","R_0402","222.7000","86.3000","180","R - RESISTOR - SMD - 3.3k - 1% - 0402","222.7000","86.3000","223.2080","86.3000"
"R9","0402WGF1002TCE","TopLayer","R_0402","222.1000","84.7000","90","R - RESISTOR - SMD - 10k - 1% - 0402","222.1000","84.7000","222.1000","84.1920"
"Ron_a","0402WGF1003TCE","TopLayer","R_0402","220.5000","87.0000","180","R - RESISTOR - SMD - 100k - 1% -  0402","220.5000","87.0000","221.0080","87.0000"
"Ron_c","0402WGF1003TCE","TopLayer","R_0402","220.5000","88.0000","360","R - RESISTOR - SMD - 100k - 1% -  0402","220.5000","88.0000","219.9920","88.0000"
"Ron_d","0402WGF1003TCE","TopLayer","R_0402","221.5000","89.0000","360","R - RESISTOR - SMD - 100k - 1% -  0402","221.5000","89.0000","220.9920","89.0000"
"U1","LM5008MMX/NOPB","TopLayer","SOP65P490X110-8N","219.6000","83.1000","90","U - IC - BUCK CONVERTER, ADJUSTABLE, 95V, 350mA","219.6000","83.1000","218.6250","80.9500"
"R6","1m","TopLayer","R_2512","195.0000","40.5000","360","R - RESISTOR - SMD - 0.001R - 1% - 2512 - 2W - 50ppm/k","195.0000","40.5000","192.4000","40.5000"
"R2","1m","TopLayer","R_2512","195.0000","28.5000","360","R - RESISTOR - SMD - 0.001R - 1% - 2512 - 2W - 50ppm/k","195.0000","28.5000","192.4000","28.5000"
"U7","SM72295MAX","TopLayer","M28B_M","194.4782","56.2446","180","Photovoltaic Full Bridge Driver","194.4782","56.2446","199.0782","47.9896"
"C47","1206B105K101NT","TopLayer","C_1206","175.9968","38.9952","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","175.9968","38.9952","175.9968","40.3906"
"C45","1206B105K101NT","TopLayer","C_1206","178.4968","38.9952","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","178.4968","38.9952","178.4968","40.3906"
"C44","1206B105K101NT","TopLayer","C_1206","180.9968","38.9952","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","180.9968","38.9952","180.9968","40.3906"
"C41","1206B105K101NT","TopLayer","C_1206","183.4967","38.9952","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","183.4967","38.9952","183.4967","40.3906"
"C36","1206B105K101NT","TopLayer","C_1206","185.9967","38.9952","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","185.9967","38.9952","185.9967","40.3906"
"C30","1206B105K101NT","TopLayer","C_1206","188.5000","39.0000","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","188.5000","39.0000","188.5000","40.3954"
"C28","1206B105K101NT","TopLayer","C_1206","188.5033","30.0048","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","188.5033","30.0048","188.5033","28.6094"
"C27","1206B105K101NT","TopLayer","C_1206","186.0033","30.0048","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","186.0033","30.0048","186.0033","28.6094"
"C25","1206B105K101NT","TopLayer","C_1206","183.5034","30.0048","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","183.5034","30.0048","183.5034","28.6094"
"C20","1206B105K101NT","TopLayer","C_1206","181.0034","30.0048","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","181.0034","30.0048","181.0034","28.6094"
"C16","1206B105K101NT","TopLayer","C_1206","178.5034","30.0048","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","178.5034","30.0048","178.5034","28.6094"
"C1","1206B105K101NT","TopLayer","C_1206","176.0034","30.0048","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","176.0034","30.0048","176.0034","28.6094"
"C72","1206B105K101NT","TopLayer","C_1206","176.0000","79.4000","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","176.0000","79.4000","176.0000","80.7954"
"C70","1206B105K101NT","TopLayer","C_1206","178.4966","79.3952","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","178.4966","79.3952","178.4966","80.7906"
"C13","1206B105K101NT","TopLayer","C_1206","181.0000","79.4000","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","181.0000","79.4000","181.0000","80.7954"
"C12","1206B105K101NT","TopLayer","C_1206","183.5000","79.4000","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","183.5000","79.4000","183.5000","80.7954"
"C11","1206B105K101NT","TopLayer","C_1206","186.0000","79.4000","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","186.0000","79.4000","186.0000","80.7954"
"C10","1206B105K101NT","TopLayer","C_1206","188.4967","79.3952","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","188.4967","79.3952","188.4967","80.7906"
"C9","1206B105K101NT","TopLayer","C_1206","188.5000","70.6000","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","188.5000","70.6000","188.5000","69.2046"
"C8","1206B105K101NT","TopLayer","C_1206","186.0000","70.6000","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","186.0000","70.6000","186.0000","69.2046"
"C7","1206B105K101NT","TopLayer","C_1206","183.5000","70.6000","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","183.5000","70.6000","183.5000","69.2046"
"C6","1206B105K101NT","TopLayer","C_1206","181.0000","70.6000","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","181.0000","70.6000","181.0000","69.2046"
"C5","1206B105K101NT","TopLayer","C_1206","178.5000","70.6000","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","178.5000","70.6000","178.5000","69.2046"
"C4","1206B105K101NT","TopLayer","C_1206","176.0034","70.6048","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","176.0034","70.6048","176.0034","69.2094"
"C19","1206B102K202NT","TopLayer","C_1206","146.5000","23.0000","90","C - CAPACITOR - MLCC - 1nF - 2000V - 1206 - X7R","146.5000","23.0000","146.5000","21.7046"
"C18","1206B102K202NT","TopLayer","C_1206","146.0000","84.0000","270","C - CAPACITOR - MLCC - 1nF - 2000V - 1206 - X7R","146.0000","84.0000","146.0000","85.2954"
"J_OUT","XT60PW_F","TopLayer","XT60PW_F","221.0000","25.0000","270","J - JACK - POWER - XT60 - RIGHT - FEMALE","218.0000","25.0000","218.0000","21.4000"
"D_CLAMP_18","ZMM5V6-M","TopLayer","DO-213AA","93.0000","25.0000","180","D - DIODE - ZENER - 5.6V - 500mW","93.0000","25.0000","95.0000","25.0000"
"D_CLAMP_17","ZMM5V6-M","TopLayer","DO-213AA","93.0000","28.5000","360","D - DIODE - ZENER - 5.6V - 500mW","93.0000","28.5000","91.0000","28.5000"
"D_CLAMP_16","ZMM5V6-M","TopLayer","DO-213AA","93.0000","32.0000","180","D - DIODE - ZENER - 5.6V - 500mW","93.0000","32.0000","95.0000","32.0000"
"D_CLAMP_15","ZMM5V6-M","TopLayer","DO-213AA","93.0000","35.5000","360","D - DIODE - ZENER - 5.6V - 500mW","93.0000","35.5000","91.0000","35.5000"
"D_CLAMP_14","ZMM5V6-M","TopLayer","DO-213AA","93.0000","39.0000","180","D - DIODE - ZENER - 5.6V - 500mW","93.0000","39.0000","95.0000","39.0000"
"D_CLAMP_13","ZMM5V6-M","TopLayer","DO-213AA","93.0000","42.5000","360","D - DIODE - ZENER - 5.6V - 500mW","93.0000","42.5000","91.0000","42.5000"
"D_CLAMP_12","ZMM5V6-M","TopLayer","DO-213AA","93.0000","46.0000","180","D - DIODE - ZENER - 5.6V - 500mW","93.0000","46.0000","95.0000","46.0000"
"D_CLAMP_11","ZMM5V6-M","TopLayer","DO-213AA","93.0000","49.5000","360","D - DIODE - ZENER - 5.6V - 500mW","93.0000","49.5000","91.0000","49.5000"
"D_CLAMP_10","ZMM5V6-M","TopLayer","DO-213AA","93.0000","53.0000","180","D - DIODE - ZENER - 5.6V - 500mW","93.0000","53.0000","95.0000","53.0000"
"D_CLAMP_9","ZMM5V6-M","TopLayer","DO-213AA","93.0000","56.5000","360","D - DIODE - ZENER - 5.6V - 500mW","93.0000","56.5000","91.0000","56.5000"
"D_CLAMP_8","ZMM5V6-M","TopLayer","DO-213AA","93.0000","60.0000","180","D - DIODE - ZENER - 5.6V - 500mW","93.0000","60.0000","95.0000","60.0000"
"D_CLAMP_7","ZMM5V6-M","TopLayer","DO-213AA","93.0000","63.5000","360","D - DIODE - ZENER - 5.6V - 500mW","93.0000","63.5000","91.0000","63.5000"
"D_CLAMP_6","ZMM5V6-M","TopLayer","DO-213AA","93.0000","67.0000","180","D - DIODE - ZENER - 5.6V - 500mW","93.0000","67.0000","95.0000","67.0000"
"D_CLAMP_5","ZMM5V6-M","TopLayer","DO-213AA","93.0000","70.5000","360","D - DIODE - ZENER - 5.6V - 500mW","93.0000","70.5000","91.0000","70.5000"
"D_CLAMP_4","ZMM5V6-M","TopLayer","DO-213AA","93.0000","74.0000","180","D - DIODE - ZENER - 5.6V - 500mW","93.0000","74.0000","95.0000","74.0000"
"D_CLAMP_3","ZMM5V6-M","TopLayer","DO-213AA","93.0000","77.5000","360","D - DIODE - ZENER - 5.6V - 500mW","93.0000","77.5000","91.0000","77.5000"
"D_CLAMP_2","ZMM5V6-M","TopLayer","DO-213AA","93.0000","81.0000","180","D - DIODE - ZENER - 5.6V - 500mW","93.0000","81.0000","95.0000","81.0000"
"D_CLAMP_1","ZMM5V6-M","TopLayer","DO-213AA","93.0000","84.5000","360","D - DIODE - ZENER - 5.6V - 500mW","93.0000","84.5000","91.0000","84.5000"
"D_1B","N4148WS","TopLayer","SOD-323","40.5000","88.5000","90","D - DIODE - FAST TRR - 100V - 150mA - 4ns","40.5000","88.5000","40.5000","87.4000"
"D_1A","N4148WS","TopLayer","SOD-323","40.5000","84.5000","270","D - DIODE - FAST TRR - 100V - 150mA - 4ns","40.5000","84.5000","40.5000","85.6000"
