Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity

"1206B105K101NT","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","C1, C4, C5, C6, C7, C8, C9, C10, C11, C12, C16, C20, C25, C27, C28, C30, C36, C41, C44, C58, C61, C70, C72, C130, C410, C450, C470, C620, Cpsu1","C_1206","C91151","1206B105K101NT","29"
"CL05A105KA5NQNC","C - CAPACITOR - MLCC - 1uF - 25V - 0402","C5v1, C12v1, C12v2, C12v3, C12v4, C12v5, C12v6, C12v7, C12v8, C12v9, C12v10, C12v11, C12v12, C66, C69, C201, Creset, Cvcc","C_0402","C52923","CL05A105KA5NQNC","18"
"CL05A106MQ5NUNC","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","C5v2, C33, C34","C_0402","C15525","CL05A106MQ5NUNC","3"
"0402CG6R8C500NT","C - CAPACITOR - MLCC - 6.8pF - 50V - 0402","C14, C15","C_0402","C1576","0402CG6R8C500NT","2"
"1206B102K202NT","C - CAPACITOR - MLCC - 1nF - 2000V - 1206 - X7R","C18, C19","C_1206","C9196","1206B102K202NT","2"
"CL05B103KB5NNNC","C - CAPACITOR - MLCC - 10nF - 50V - 0402","C29, C37, C39, C59, Cbst","C_0402","C15195","CL05B103KB5NNNC","5"
"VZH470M2ATR-1010","C - CAPACITOR - ELECTROLYTIC - 47uF - 100V","C45, C53, C54, C55","C_CAN_1010","C164068","VZH470M2ATR-1010","4"
"CL05B104KO5NNNC","C - CAPACITOR - MLCC - 100nF - 16V - 0402","C49, C50, C51, C52, Cref, Cvdd","C_0402","C1525","CL05B104KO5NNNC","6"
"CL10B474KA8NNNC","C - CAPACITOR - MLCC - 470nF - 25V - 0603","Cboot1, Cboot2","C_0603","C1623","CL10B474KA8NNNC","2"
"CL05B332KB5NNNC","C - CAPACITOR - MLCC - 3.3nF - 50V - 0402","Ccmp","C_0402","C26404","CL05B332KB5NNNC","1"
"0402CG560J500NT","C - CAPACITOR - MLCC - 56pF - 50V -  0402","CCS","C_0402","C1572","0402CG560J500NT","1"
"0402B102K500NT","C - CAPACITOR - MLCC - 1nF - 50V - 0402","Ciin, Ciout, Csu1, Csu2","C_0402","C1523","0402B102K500NT","4"
"SS210","D - DIODE - SCHOTTKY - 100V - 2A","D1_a, D1_b, D1_c, D1_d, D1_e, D1_f, D2_a, D2_b, D2_c, D2_d, D2_e, D2_f, D3_a, D3_b, D3_c, D3_d, D3_e, D3_f, D4_a, D4_b, D4_c, D4_d, D4_e, D4_f, D14, D15, Dbg1, Dbg2, Dpsu1, Dtg1, Dtg2","DO-214AC","C14996","SS210","31"
"N4148WS","D - DIODE - FAST TRR - 100V - 150mA - 4ns","D3, D4, D5, D6, D_1A, D_1B","SOD-323","C2128","N4148WS","6"
"ZMM5V6-M","D - DIODE - ZENER - 5.6V - 500mW","D_1A_G, D_1B_G, D_CLAMP_1, D_CLAMP_2, D_CLAMP_3, D_CLAMP_4, D_CLAMP_5, D_CLAMP_6, D_CLAMP_7, D_CLAMP_8, D_CLAMP_9, D_CLAMP_10, D_CLAMP_11, D_CLAMP_12, D_CLAMP_13, D_CLAMP_14, D_CLAMP_15, D_CLAMP_16, D_CLAMP_17, D_CLAMP_18","DO-213AA","C8062","ZMM5V6-M","20"
"1N5819WS","D - DIODE - SCHOTTKY - 40V - 1A","Dsu1, Dsu2","SOD-323","C191023","1N5819WS","2"
"2-406549-1","J - JACK - ETHERNET - Right - THT","J1, J2","TE_2-406549-1","C125068","2-406549-1","2"
"XT60PW_M","J - JACK - POWER - XT60 - RIGHT - MALE","Jout","XT60PW_M","X","XT60PW_M","1"
"SWRB1207S-221MT","L - INDUCTOR - 220uH - 1.6A - 12.5mm","L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L200","SRR1260","C169380","SWRB1207S-221MT","13"
"2N7002","Q - TRANSISTOR - MOSFET (N) - 60V - 200mW","Q_LEDA, Q_LEDB, Q_LEDVSS, Qscl, Qsda","TO-236AB","C8545","2N7002","5"
"FDB33N25TM","Q - TRANSISTOR - MOSFET (N) - 250V - 33A - 0.094R","Qbg1, Qbg2, Qtg1, Qtg2","TO-263-3","C241752","FDB33N25TM","4"
"MMBT3904","Q - TRANSISTOR - BJT - NPN - 40V 200mA","Qsu","TO-236AB","C20526","MMBT3904","1"
"1m","R - RESISTOR - SMD - 0.005R - 1% - 2512 - 2W","R1, R10, Rcs","R_2512","C371096","FMF25FPJR005-LH","3"
"0402WGF470JTCE","R - RESISTOR - SMD - 47R - 1% - 0402","R21","R_0402","C25118","0402WGF470JTCE","1"
"0402WGF1002TCE","R - RESISTOR - SMD - 10k - 1% - 0402","R26, R45, R47, R48, Rbg1s, Rbg2s, Rovs, Rpsufb1, Rscl, Rsda, Rtg1s, Rtg2s","R_0402","C25744","0402WGF1002TCE","12"
"0402WGF3302TCE","R - RESISTOR - SMD - 33k - 1% - 0402","R28, Rcl1","R_0402","C25779","0402WGF3302TCE","2"
"0402WGF0000TCE","R - RESISTOR - SMD - 0R - 1% - 0402","R29, R30, R31, R160, R_LEDA_O, R_LEDB_O, Ragnd, Rpsu1","R_0402","C17168","0402WGF0000TCE","8"
