Altium Designer Pick and Place Locations
C:\git\solarmagic\texas_2\Project Outputs\Pick Place for SM3320-BATT-EV(CS_OUT).csv

========================================================================================================================
File Design Information:

Date:       24/06/22
Time:       19:16
Revision:   Not in VersionControl
Variant:    CS_OUT
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"Cpsu1","1206B105K101NT","TopLayer","C_1206","251.2000","71.7000","180","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","251.2000","71.7000","252.5954","71.7000"
"Rbout","0402WGF100JTCE","TopLayer","R_0402","210.7000","58.4000","90","R - RESISTOR - SMD - 10R - 1% - 0402","210.7000","58.4000","210.7000","57.8920"
"Rbin","0402WGF100JTCE","TopLayer","R_0402","211.3000","50.1000","180","R - RESISTOR - SMD - 10R - 1% - 0402","211.3000","50.1000","211.8080","50.1000"
"Rsu5","0402WGF1001TCE","TopLayer","R_0402","219.0000","41.9000","90","R - RESISTOR - SMD - 1k - 1% - 0402","219.0000","41.9000","219.0000","41.3920"
"D_CLAMP_17","ZMM5V6-M","TopLayer","DO-213AA","86.0000","32.1000","360","D - DIODE - ZENER - 5.6V - 500mW","86.0000","32.1000","84.0000","32.1000"
"D_CLAMP_18","ZMM5V6-M","TopLayer","DO-213AA","86.0000","29.1000","180","D - DIODE - ZENER - 5.6V - 500mW","86.0000","29.1000","88.0000","29.1000"
"Rpsu1","0402WGF0000TCE","TopLayer","R_0402","248.9000","87.1000","180","R - RESISTOR - SMD - 0R - 1% - 0402","248.9000","87.1000","249.4080","87.1000"
"Jout","XT60PW_M","TopLayer","XT60PW_M","242.0000","31.2500","270","J - JACK - POWER - XT60 - RIGHT - MALE","239.0000","31.2500","245.0000","38.0000"
"Rsu4","0402WGF3303TCE","TopLayer","R_0402","213.3000","47.4000","90","R - RESISTOR - SMD - 330k - 1% - 0402","213.3000","47.4000","213.3000","46.8920"
"Rsu3","0603WAF2703T5E","TopLayer","R_0603","212.5000","43.7000","180","R - RESISTOR - SMD - 270k - 1% - 0603","212.5000","43.7000","213.2700","43.7000"
"Rsu2","0603WAF2703T5E","TopLayer","R_0603","212.5000","45.4000","180","R - RESISTOR - SMD - 270k - 1% - 0603","212.5000","45.4000","213.2700","45.4000"
"Rsu1","0402WGF1003TCE","TopLayer","R_0402","216.3000","44.6000","360","R - RESISTOR - SMD - 100k - 1% -  0402","216.3000","44.6000","215.7920","44.6000"
"Qsu","MMBT3904","TopLayer","TO-236AB","215.8000","47.0000","90","Q - TRANSISTOR - BJT - NPN - 40V 200mA","215.8000","47.0000","214.8500","45.8500"
"Dsu2","1N5819WS","TopLayer","SOD-323","216.5000","41.9000","180","D - DIODE - SCHOTTKY - 40V - 1A","216.5000","41.9000","217.6000","41.9000"
"Dsu1","1N5819WS","TopLayer","SOD-323","212.8000","41.9000","180","D - DIODE - SCHOTTKY - 40V - 1A","212.8000","41.9000","213.9000","41.9000"
"Csu2","0402B102K500NT","TopLayer","C_0402","216.3000","43.5000","360","C - CAPACITOR - MLCC - 1nF - 50V - 0402","216.3000","43.5000","215.7920","43.5000"
"Csu1","0402B102K500NT","TopLayer","C_0402","214.8000","44.0000","90","C - CAPACITOR - MLCC - 1nF - 50V - 0402","214.8000","44.0000","214.8000","43.4920"
"Ragnd","0402WGF0000TCE","TopLayer","R_0402","212.8000","60.8000","90","R - RESISTOR - SMD - 0R - 1% - 0402","212.8000","60.8000","212.8000","60.2920"
"C12v12","CL05A105KA5NQNC","TopLayer","C_0402","248.1000","71.7000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","248.1000","71.7000","248.1000","72.2080"
"C12v11","CL05A105KA5NQNC","TopLayer","C_0402","246.9000","71.7000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","246.9000","71.7000","246.9000","72.2080"
"C12v10","CL05A105KA5NQNC","TopLayer","C_0402","245.7000","71.7000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","245.7000","71.7000","245.7000","72.2080"
"C12v9","CL05A105KA5NQNC","TopLayer","C_0402","244.5000","71.7000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","244.5000","71.7000","244.5000","72.2080"
"C12v2","CL05A105KA5NQNC","TopLayer","C_0402","236.2000","71.7000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","236.2000","71.7000","236.2000","72.2080"
"Ron_c","0402WGF4702TCE","TopLayer","R_0402","250.9000","85.8000","360","R - RESISTOR - SMD - 47k - 1% - 0402","250.9000","85.8000","250.3920","85.8000"
"Ron","0402WGF2003TCE","TopLayer","R_0402","250.9000","84.7000","180","R - RESISTOR - SMD - 200k - 1% - 0402","250.9000","84.7000","251.4080","84.7000"
"Rpsufb2","0402WGF3301TCE","TopLayer","R_0402","253.2000","84.0000","180","R - RESISTOR - SMD - 3.3k - 1% - 0402","253.2000","84.0000","253.7080","84.0000"
"Rpsufb1","0402WGF1002TCE","TopLayer","R_0402","252.6000","82.4000","90","R - RESISTOR - SMD - 10k - 1% - 0402","252.6000","82.4000","252.6000","81.8920"
"Rcl1","0402WGF3302TCE","TopLayer","R_0402","253.2000","79.2000","180","R - RESISTOR - SMD - 33k - 1% - 0402","253.2000","79.2000","253.7080","79.2000"
"Rcl2","0402WGF1003TCE","TopLayer","R_0402","253.2000","78.0000","360","R - RESISTOR - SMD - 100k - 1% -  0402","253.2000","78.0000","252.6920","78.0000"
"L200","SWRB1207S-221MT","TopLayer","SRR1260","241.0000","80.7000","90","L - INDUCTOR - 220uH - 1.6A - 12.5mm","241.0000","80.7000","241.0000","75.7000"
"Ccmp","CL05B332KB5NNNC","TopLayer","C_0402","253.7000","82.4000","270","C - CAPACITOR - MLCC - 3.3nF - 50V - 0402","253.7000","82.4000","253.7000","82.9080"
"C12v1","CL05A105KA5NQNC","TopLayer","C_0402","235.0000","71.7000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","235.0000","71.7000","235.0000","72.2080"
"C12v3","CL05A105KA5NQNC","TopLayer","C_0402","237.4000","71.7000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","237.4000","71.7000","237.4000","72.2080"
"Cbst","CL05B103KB5NNNC","TopLayer","C_0402","253.2000","80.8000","180","C - CAPACITOR - MLCC - 10nF - 50V - 0402","253.2000","80.8000","253.7080","80.8000"
"C201","CL05A105KA5NQNC","TopLayer","C_0402","249.3000","85.3000","90","C - CAPACITOR - MLCC - 1uF - 25V - 0402","249.3000","85.3000","249.3000","84.7920"
"Dpsu1","SS210","TopLayer","DO-214AC","251.0000","75.8500","360","D - DIODE - SCHOTTKY - 100V - 2A","251.0000","75.8000","249.1000","75.8000"
"Upsu","LM5008MMX/NOPB","TopLayer","SOP65P490X110-8N","250.1000","80.8000","90","U - IC - BUCK CONVERTER, ADJUSTABLE, 95V, 350mA","250.1000","80.8000","249.1250","78.6500"
"C12v4","CL05A105KA5NQNC","TopLayer","C_0402","238.6000","71.7000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","238.6000","71.7000","238.6000","72.2080"
"C12v5","CL05A105KA5NQNC","TopLayer","C_0402","239.8000","71.7000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","239.8000","71.7000","239.8000","72.2080"
"C12v6","CL05A105KA5NQNC","TopLayer","C_0402","240.9000","71.7080","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","240.9000","71.7080","240.9000","72.2160"
"C12v7","CL05A105KA5NQNC","TopLayer","C_0402","242.1000","71.7000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","242.1000","71.7000","242.1000","72.2080"
"C12v8","CL05A105KA5NQNC","TopLayer","C_0402","243.3000","71.7000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","243.3000","71.7000","243.3000","72.2080"
"U5V2","78L05G-AB3-R","TopLayer","SOT-223-3","223.1000","65.0500","180","U - IC - 5V Power Regulator","222.6000","65.1000","224.4000","63.5000"
"C5v2","CL05A106MQ5NUNC","TopLayer","C_0402","226.3000","63.9000","270","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","226.3000","63.9000","226.3000","64.4080"
"C5v1","CL05A105KA5NQNC","TopLayer","C_0402","226.3000","66.3000","90","C - CAPACITOR - MLCC - 1uF - 25V - 0402","226.3000","66.3000","226.3000","65.7920"
"C1","1206B105K101NT","TopLayer","C_1206","198.4966","28.9952","270","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","198.4966","28.9952","198.4966","30.3906"
"C4","1206B105K101NT","TopLayer","C_1206","186.0034","70.6048","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","186.0034","70.6048","186.0034","69.2094"
